Original,Translation,Comment
Core 1.0.7e,Core 1.0.7e,
"Continue Game","Продолжить игру",
"New Game","Новая игра",
"Load","Загрузить",
Save,Сохранить,
"Start Module","Запустить модуль",
"Settings","Настройки",
"Credits","Авторы",
"Quit","Выйти",
"Exit","Выход",
"Reset","Сброс",
"Gameplay","Игра",
"Difficulty","Сложность",
"Display","Экран",
"Audio","Аудио",
"Controls","Управление",
"Fonts","Шрифты",
"Enter Map Auto Save","Cохр. при входе на карту",
"Rest Auto Save","Cохр. при отдыхе",
"Tactical Icons Always On","Тактические иконки",
"Tactical Grid","Тактическая сетка",
"Show Stealth Info","Информация о скрытности",
"Combat Pop-Up Length","Время поп-апа боя",
"Tutorials","Обучение",
"Controller Sensitivity","Чувствит. контроллера",
"Language","Язык",
"Enabled","Включено",
"Disabled","Отключено",
DISABLED,ОТКЛЮЧЕНО,
ENABLED,ВКЛЮЧЕНО,
"Normal","Обычный",
"Extensive","Подробно",
"DELUXE","DELUXE",
"Nostalgia Mode","Режим ностальгии",
"Dice Animation","Анимация кубиков",
"White - Pips","Белый — точки",
"Russian","Русский",
"Gameplay Settings","Настройки игрового процесса",
"ENTER MAP AUTO SAVE","АВТОСОХРАНЕНИЕ ПРИ ВХОДЕ НА КАРТУ",
"The game will auto save whenever you enter a new map","Игра будет автоматически сохраняться при входе на новую карту",
"REST AUTO SAVE","АВТОСОХРАНЕНИЕ ПРИ ОТДЫХЕ",
"The game will auto save whenever you make camp","Игра будет автоматически сохраняться при разбивке лагеря",
"TACTICAL ICONS ALWAYS ON","ТАКТИЧЕСКИЕ ЗНАЧКИ ВСЕГДА ВИДИМЫ",
"The degree to which the game shows tactical symbols and a grid during combat","Степень отображения тактических символов и сетки в бою",
"If set to true, the game will automatically show tactical icons during the planning state","Если установлено в true, игра будет автоматически показывать тактические значки во время фазы планирования",
"If set to false, the tactical icons will only show when holding down SHIFT","Если установлено в false, тактические значки показываются только при удерживании SHIFT",
"TACTICAL GRID","ТАКТИЧЕСКАЯ СЕТКА",
"Whether or not the game shows a grid along with the tactical icons when activated during combat","Отображать ли сетку вместе с тактическими значками в бою",
"SHOW STEALTH INFO","ПОКАЗ ИНФОРМАЦИИ О СКРЫТНОСТИ",
"Setting this to Enabled will show a tooltip box containing info on light levels and stealth modifiers for tiles when you right click them","При значении «Включено» при правом клике будет показана подсказка об освещённости и модификаторах скрытности клетки",
"COMBAT POP-UP LENGTH","ДЛИТЕЛЬНОСТЬ ВСПЛЫВАЮЩИХ СООБЩЕНИЙ БОЯ",
"This adjusts how long the on-screen combat pop-up text lingers","Определяет, как долго всплывающий боевой текст держится на экране",
"Note that a turn does not progress until all the character�s pop-up text is gone, so adjusting this number will also adjust how quickly combat turns pass","Учтите: ход не продолжится, пока не исчезнет весь всплывающий текст; изменение значения влияет на скорость ходов",
"TUTORIALS","ОБУЧЕНИЕ",
"The degree to which you want the game to offer gameplay tutorials during play","Степень подачи обучающих подсказок во время игры",
"CONTROLLER SENSITIVITY","ЧУВСТВИТЕЛЬНОСТЬ КОНТРОЛЛЕРА",
"The sensitivity of the joystick used for moving the cursor when using a controller","Чувствительность джойстика при перемещении курсора",
"LANGUAGE","ЯЗЫК",
"Select the display language for the game","Выберите язык интерфейса игры",
"English","Английский",
"None","Нет",
"Some","Немного",
"Slow","Медленно",
"Very Slow","Оч. медленно",
"Fast","Быстро",
"Attribute Rerolls","Рерол. аттриб.",
"Player Rerolls","Рерол. игрока",
"P. Dmg. Rerolls","Рерол. урона иг.",
"Enemy Rerolls","Рерол. врага",
"E. Dmg. Rerolls","Рерол. урона вр.",
"Miss Smoothening","Буст промахов",
"Combat Heal","Леч. после боя",
"No Encumb","Без перегруза",
"Cannot Die","Бессмертие",
"XP For KO Char","Опыт выбывшим",
"Easy","Лёгкий",
"Difficulty Settings","Настройки сложности",
"DIFFICULTY","СЛОЖНОСТЬ",
"The current difficulty of the game","Текущая сложность игры",
"Easy mode is a great way for players who are new to this style of roleplaying game to experience Skald","Режим «Лёгкий» подходит новичкам, желающим познакомиться со Skald",
"Combat is forgiving and there should be little need to optimize character builds","Бои снисходительны и почти не требуют оптимизации персонажей",
"Dice rolls are weighted in the player’s favor","Броски костей смещены в пользу игрока",
"Normal mode is the game’s intended difficulty setting","Режим «Норма» — базовая сложность игры",
"There is only very limited artificial smoothing of certain dice rolls","Сглаживание бросков минимально",
"Dice rolls are slightly weighted in the opponent's favor making them more deadly","Броски слегка смещены в пользу противника, делая его опаснее",
"CUSTOM","Пользовательский",
"Custom difficulty","Пользовательская сложность",
"Narrative","Нарратив",
"Narrative mode is the difficulty for players who would like to experience the game’s story and setting with a minimum of focus on combat and grinding","«Нарратив» для тех, кто хочет сосредоточиться на сюжете с минимумом боёв и гринда",
"ATTRIBUTE REROLLS","ПЕРЕБРОСЫ АТРИБУТОВ",
"If this number is greater than zero, the system will reroll any of the player's Attribute Check (Skill Checks for instance) dice rolls that many times and pick the most favorable one to the player","Если значение больше нуля, система перебросит проверки атрибутов игрока указанное число раз и выберет лучший результат",
"PLAYER REROLLS","ПЕРЕБРОСЫ ИГРОКА",
"If this number is greater than zero, the system will reroll any of the player's Combat dice rolls (such as Attack Rolls or Defence Rolls) that many times and pick the most favorable one to the player","Если значение больше нуля, система перебросит боевые броски игрока указанное число раз и выберет лучший результат",
"P. DMG. REROLLS","ПЕРЕБРОС УРОНА ИГРОКА",
"If this number is greater than zero, the system will reroll any of the player's damage dice rolls that many times and pick the most favorable one to the player","Если значение больше нуля, система перебросит кубики урона игрока указанное число раз и выберет лучший результат",
"ENEMY REROLLS","ПЕРЕБРОСЫ ВРАГА",
"If this number is greater than zero, the system will reroll any of the enemy's Combat dice rolls (such as Attack Rolls or Defence Rolls) that many times and pick the most favorable one to the enemy","Если значение больше нуля, система перебросит боевые броски врага указанное число раз и выберет лучший результат для врага",
"E. DMG. REROLLS","ПЕРЕБРОС УРОНА ВРАГА",
"If this number is greater than zero, the system will reroll any of the enemy's damage dice rolls that many times and pick the most favorable one to the enemy","Если значение больше нуля, система перебросит кубики урона врага указанное число раз и выберет лучший результат для врага",
"MISS SMOOTHENING","СГЛАЖИВАНИЕ ПРОМАХОВ",
"The degree to which the engine compensates player miss streaks by increasing To-Hit chances","Степень, с которой движок компенсирует серии промахов, повышая шанс попадания",
"Ignore Food","Без еды",
"COMBAT HEAL","ЛЕЧЕНИЕ ПОСЛЕ БОЯ",
"If Enabled, the party will heal fully after each combat","Если включено, группа полностью восстанавливается после боя",
"No Trash Mobs","Без треш врагов",
"NO ENCUMB","БЕЗ ПЕРЕГРУЗА",
"If Enabled, the party has no limit to carrying capacity","Если включено, у группы нет ограничения по переносимому весу",
"CANNOT DIE","НЕВОЗМОЖНО УМЕРЕТЬ",
"If Enabled, the main PC can never die in combat","Если включено, главный персонаж не может погибнуть в бою",
"XP FOR KO CHAR","ОПЫТ ДЛЯ НОКАУТИРОВАННЫХ",
"If Enabled, XP will also be given to downed characters after combat","Если включено, опыт получают также выбывшие персонажи",
"IGNORE FOOD","ИГНОРИРОВАТЬ ЕДУ",
"If Enabled, the party does not need to consume food","Если включено, группе не нужна еда",
"NO TRASH MOBS","БЕЗ МУСОРНЫХ ВРАГОВ",
"If Enabled, the party will not encounter 'trash mob' encounters on the overland map","Если включено, на глобальной карте не будет «мусорных» столкновений",
"TO-HIT ROLL","БРОСОК НА ПОПАДАНИЕ",
"Concept","Концепт",
"The To-Hit roll is made by comparing the Attacker's Attack Roll to the Defender's Defence Roll","Попадание определяется сравнением броска атаки нападающего и броска защиты защищающегося",
"If the Attacker rolls equal to or higher than the Defence Roll the attack is a hit","Если бросок атаки ≥ броска защиты, удар наносится",
"ATTACK ROLL","БРОСОК АТАКИ",
"The Attack Roll is calulated in the following way","Бросок атаки рассчитывается следующим образом",
"2d6 + Melee To Hit / Ranged To Hit + Misc","2d6 + Ближн. попадание / Дальн. попадание + прочее",
"Bonuses + Accuracy Bonuses","Бонусы + бонусы точности",
"2D6","2d6",
"Simulates rolling and adding up two six-sided dice","Имитация броска двух шестигранных кубиков и сложения результата",
"In other words a 2d6 roll generates a number between 2 and","То есть бросок 2d6 даёт число от 2 до",
"DEFENCE ROLL","БРОСОК ЗАЩИТЫ",
"The Defence Roll is","Бросок защиты равен",
"2d6 + Misc Bonuses + Dodge","2d6 + Прочие Бонусы + Уклонение",
"Attribute - Defence","Атрибут – Защита",
"The ability to avoid incoming attacks and other reflex-based dangers","Способность уклоняться от атак и других опасностей",
"In other words, this determines how hard a character is to hit","Иными словами, определяет, насколько сложно попасть по персонажу",
"MELEE TO HIT","ПОПАДАНИЕ В БЛИЖНЕМ БОЮ",
"Attribute - Combat","Атрибут – Бой",
"The character's skill at attacking with melee weapons","Навык обращения с ближним оружием",
"Determines hit chance","Определяет шанс попадания",
"RANGED TO HIT","ПОПАДАНИЕ В ДАЛЬНЕМ БОЮ",
"The characters skill at attacking with ranged weapons","Навык обращения с дальним оружием",
"ACCURACY","ТОЧНОСТЬ",
"Accuracy is added to an attacker's Attack Roll when trying to hit an opponent","Точность добавляется к броску атаки при попытке попасть",
"Accuracy is typically derived from a weapon's quality","Точность обычно зависит от качества оружия",
"CRT Filter","CRT-фильтр",
"Screen Mode","Режим экрана",
"Windowed Mode Scale","Масштаб оконного режима",
"VSync","VSync",
"Classic Console","Классическая консоль",
"Fancy Lighting","Сложное освещение",
"Weather Effects","Погодные эффекты",
"Screen Shaking","Дрожание экрана",
"Full","Полный",
"Off","Выкл",
"Display Settings","Настройки отображения",
"CRT FILTER","CRT-ФИЛЬТР",
"Activating this filter gives the game a fuzzy retro look","Активация фильтра придаёт игре размытый ретро-вид",
"Soft","Мягко",
"Classic","Классика",
"High-End","High-End",
"Arcade","Аркада",
"Kitchen TV","Кухонный ТВ",
"Mini CRT","Мини-CRT",
"Old TV","Старый ТВ",
"Broken B/W","Сломанный Ч/Б",
"SCREEN MODE","РЕЖИМ ЭКРАНА",
"Allows the game to be played in full screen or windowed mode","Позволяет играть в полноэкранном или оконном режиме",
"WINDOWED MODE SCALE","МАСШТАБ ОКОННОГО РЕЖИМА",
"The scale of the window when run in Window mode","Размер окна в оконном режиме",
"VSYNC","VSYNC",
"VSync prevents artifacts such as screen tearing","VSync предотвращает артефакты типа разрыва кадра",
"CLASSIC CONSOLE","КЛАССИЧЕСКАЯ КОНСОЛЬ",
"The console uses the classic C64 color theme","Консоль использует классическую C64-палитру",
"FANCY LIGHTING","СЛОЖНОЕ ОСВЕЩЕНИЕ",
"If enabled it will use the game�s blended lighting system","При включении используется смешанное освещение",
"This is the intended experience","Это рекомендованный опыт",
"This feature should only be disabled if you experience performance issues","Отключайте только при проблемах с производительностью",
"WEATHER EFFECTS","ПОГОДНЫЕ ЭФФЕКТЫ",
"If enabled the game will render weather effects like fog and rain","При включении игра отображает туман и дождь",
"Disabling this option may increase performance","Отключение может повысить производительность",
"SCREEN SHAKING","ДРОЖАНИЕ ЭКРАНА",
"Whether or not to allow the screen-shake visual effect","Разрешить ли эффект дрожания экрана",
"Windowed","В окне",
"Music Volume","Громкость музыки",
"Sound FX Volume","Громкость эффектов",
"Audio Settings","Настройки звука",
"MUSIC VOLUME","ГРОМКОСТЬ МУЗЫКИ",
"The volume of the soundtrack","Уровень громкости саундтрека",
"SOUND FX VOLUME","ГРОМКОСТЬ ЭФФЕКТОВ",
"The volume of the sound effects","Уровень громкости звуковых эффектов",
"Re-Assign","Переназначить",
"Key Bindings","Назначение клавиш",
"Spellbook","Книга заклинаний",
"SPELLBOOK","КНИГА ЗАКЛИНАНИЙ",
"G","G",
"This binding can be changed","Эту привязку можно изменить",
"Character Sheet","Лист персонажа",
"C","C",
"Console","Консоль",
"Tab","Tab",
"Feats","Умения",
"F","F",
"Feedback","Обратная связь",
"F2","F2",
"Hide","Скрытность",
"LeftCont","Левый Ctrl",
"Highlight","Подсветка",
"LeftShif","Левый Shift",
"Inventory","Инвентарь",
"E","E",
"Level Up","Повышение уровня",
"L","L",
"Light Torch","Зажечь факел",
"T","T",
"Move E","Движ. Вправо",
"D","D",
"RightArr","Вправо",
"Move N","Движ. Вверх",
"W","W",
"UpArrow","Вверх",
"Move S","Движ. Вниз",
"S","S",
"DownArro","Вниз",
"Move W","Движ. Влево",
"A","A",
"LeftArro","Влево",
"Next Character","След. персонаж",
"Q","Q",
"Quests","Журнал заданий",
"J","J",
"Quick Load","Быстрая загрузка",
"F9","F9",
"Quick Save","Быстрое сохр.",
"F5","F5",
QUICK SAVE,БЫСТРОЕ СОХРАНЕНИЕ,
QUICK LOAD,БЫСТРАЯ ЗАГРУЗКА,
"QUESTS","ЖУРНАЛ ЗАДАНИЙ",
MOVE W,ДЖВИЖЕНИЕ ВЛЕВО,
LEFTARRO,ВВЕРХ
NEXT CHARACTER,СЛЕДУЮЩИЙ ПЕРСОНАЖ,
MOVE S,ДЖВИЖЕНИЕ ВНИЗ,
DOWNARRO,ВНИЗ,
MOVE N,ДЖВИЖЕНИЕ ВВЕРХ,
UPARROW,ВВЕРХ,
MOVE E,ДЖВИЖЕНИЕ ВПРАВО,
RIGHTARR,ВПРАВО,
LIGHT TORCH,ЗАЖЕЧЬ ФАКЕЛ,
LEVEL UP,ПОВЫШЕНИЕ УРОВНЯ,
INVENTORY,ИНВЕНТАРЬ,
HIGHLIGHT,ПОДСВЕТКА,
LEFTSHIF,ЛЕВЫЙ SHIFT,
HIDE,СКРЫТНОСТЬ
LEFTCONT,ЛЕВЫЙ CTRL
FEEDBACK,
FEATS,УМЕНИЯ,
CONSOLE,КОНСОЛЬ,
TAB,TAB,
CHARACTER SHEET,ЛИСТ ПЕРСОНАЖА,
Assigning key,Назначение клавиши,
"Press ENTER or ""Re-Assign"" when done!","Нажмите ENTER или «Переназначить», когда закончите!",
Enter new key,Введите новую клавишу,
Components,Компоненты,
"Description Font","Шрифт описания",
"Description Color","Цвет описания",
"Quote Color","Цвет цитаты",
"Description Shadow","Тень описания",
"Draw Outline","Обводка",
"Text Background Color","Цвет фона текста",
"Font","Шрифт",
"Color","Цвет",
"Font Settings","Настройки шрифта",
"DESCRIPTION FONT","ШРИФТ ОПИСАНИЯ",
"The font used for most descriptions","Шрифт, используемый для большинства описаний",
�This is what a quote looks like.�,�Так выглядит цитата.�,
"DESCRIPTION COLOR","ЦВЕТ ОПИСАНИЯ",
"The color of the main descriptive text","Цвет основного текста описания",
"QUOTE COLOR","ЦВЕТ ЦИТАТЫ",
"The color of the main descriptive text that is displayed in quotation marks","Цвет текста в кавычках",
"DESCRIPTION SHADOW","ТЕНЬ ОПИСАНИЯ",
"The color of the main descriptive text's drop-down shadow","Цвет тени текста описания",
"DRAW OUTLINE","ОБВОДКА",
"Draws an outline around the letters instead of a drop-down shadow","Рисует контур вокруг букв вместо тени",
"TEXT BACKGROUND COLOR","ЦВЕТ ФОНА ТЕКСТА",
"The color of certain UI-elements behind text","Цвет элементов интерфейса за текстом",
"Adjust this to increase the contrast between text and background","Измените, чтобы повысить контраст текста и фона",
"Dark","Тёмный",
"Black","Чёрный",
"Launch","Запуск",
"Get More Content","Получить контент",
"Back","Назад",
"empty","пусто",
"Load Module","Загрузить модуль",
"LOAD","ЗАГРУЗИТЬ",
"Copy","Копировать",
"Rename","Переименовать",
"Delete","Удалить",
"Load Game","Загрузить игру",
"AUTO_SAVE","АВТОСОХРАНЕНИЕ",
"Save Date","Дата сохранения",
"Save Time","Время сохранения",
"Main Char","Главный персонаж",
"Rigurt","Ригурт",
"Level","Уровень",
"Map","Карта",
"Game Date","Дата игры",
"Day","День",
"Version","Версия",
"Module","Модуль",
"Against the Black Priory","Против Чёрного Приората",
"Do you really want to quit the game?","Вы действительно хотите выйти из игры?",
"Unsaved progress will be lost","Несохранённый прогресс будет потерян",
Choose a visual style,Выберите визуальный стиль,
DEFAULT is recommended,ПО УМОЛЧАНИЮ рекомендуется,
This can also be customized in the SETTINGS menu,Это также можно настроить в меню НАСТРОЕК,
Default,По умолч.,
To-Hit,Попадание
